"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",47,1660,9,1716,2021-11-13
"20 - 24",5,593,3,601,2021-11-13
"25 - 29",20,975,2,997,2021-11-13
"30 - 34",13,1422,11,1446,2021-11-13
"35 - 39",34,1591,10,1635,2021-11-13
"40 - 44",29,1976,14,2019,2021-11-13
"45 - 49",38,3164,28,3230,2021-11-13
"50 - 54",52,4828,78,4958,2021-11-13
"55 - 59",65,5824,139,6028,2021-11-13
"60 - 64",94,5844,256,6194,2021-11-13
"65 - 69",119,5725,537,6381,2021-11-13
"70 - 74",175,6703,1131,8009,2021-11-13
"75 - 79",209,6366,1868,8443,2021-11-13
"80 - 84",228,5015,2147,7390,2021-11-13
"85 - 89",166,3124,1593,4883,2021-11-13
">90",61,1385,685,2131,2021-11-13
