"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",46,1659,9,1714,2021-11-12
"20 - 24",5,593,3,601,2021-11-12
"25 - 29",23,974,2,999,2021-11-12
"30 - 34",13,1420,11,1444,2021-11-12
"35 - 39",34,1589,10,1633,2021-11-12
"40 - 44",29,1971,14,2014,2021-11-12
"45 - 49",38,3162,28,3228,2021-11-12
"50 - 54",47,4824,78,4949,2021-11-12
"55 - 59",60,5819,138,6017,2021-11-12
"60 - 64",93,5837,256,6186,2021-11-12
"65 - 69",122,5714,535,6371,2021-11-12
"70 - 74",165,6697,1130,7992,2021-11-12
"75 - 79",215,6351,1863,8429,2021-11-12
"80 - 84",228,5001,2143,7372,2021-11-12
"85 - 89",167,3110,1591,4868,2021-11-12
">90",62,1383,683,2128,2021-11-12
