"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",39,1481,6,1526,2021-09-19
"20 - 24",1,547,3,551,2021-09-19
"25 - 29",8,893,2,903,2021-09-19
"30 - 34",11,1286,11,1308,2021-09-19
"35 - 39",11,1476,10,1497,2021-09-19
"40 - 44",18,1831,13,1862,2021-09-19
"45 - 49",16,3002,27,3045,2021-09-19
"50 - 54",37,4626,77,4740,2021-09-19
"55 - 59",34,5608,133,5775,2021-09-19
"60 - 64",30,5582,246,5858,2021-09-19
"65 - 69",35,5459,518,6012,2021-09-19
"70 - 74",45,6412,1084,7541,2021-09-19
"75 - 79",40,6022,1781,7843,2021-09-19
"80 - 84",55,4689,2036,6780,2021-09-19
"85 - 89",30,2898,1490,4418,2021-09-19
">90",13,1278,627,1918,2021-09-19
