"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",59,1995,10,2064,2021-12-24
"20 - 24",5,676,3,684,2021-12-24
"25 - 29",20,1137,3,1160,2021-12-24
"30 - 34",18,1658,12,1688,2021-12-24
"35 - 39",42,1846,11,1899,2021-12-24
"40 - 44",28,2229,17,2274,2021-12-24
"45 - 49",37,3496,30,3563,2021-12-24
"50 - 54",80,5285,87,5452,2021-12-24
"55 - 59",108,6359,156,6623,2021-12-24
"60 - 64",125,6565,295,6985,2021-12-24
"65 - 69",175,6510,624,7309,2021-12-24
"70 - 74",224,7651,1318,9193,2021-12-24
"75 - 79",248,7383,2200,9831,2021-12-24
"80 - 84",217,5940,2586,8743,2021-12-24
"85 - 89",133,3774,1924,5831,2021-12-24
">90",45,1687,828,2560,2021-12-24
