"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",35,1391,6,1432,2021-08-15
"20 - 24",7,494,3,504,2021-08-15
"25 - 29",16,815,2,833,2021-08-15
"30 - 34",12,1190,10,1212,2021-08-15
"35 - 39",16,1374,10,1400,2021-08-15
"40 - 44",24,1720,12,1756,2021-08-15
"45 - 49",15,2897,26,2938,2021-08-15
"50 - 54",42,4488,77,4607,2021-08-15
"55 - 59",37,5458,130,5625,2021-08-15
"60 - 64",47,5454,243,5744,2021-08-15
"65 - 69",45,5339,510,5894,2021-08-15
"70 - 74",40,6285,1065,7390,2021-08-15
"75 - 79",49,5897,1736,7682,2021-08-15
"80 - 84",47,4580,1981,6608,2021-08-15
"85 - 89",32,2817,1455,4304,2021-08-15
">90",14,1235,611,1860,2021-08-15
