"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",32,1391,6,1429,2021-08-14
"20 - 24",8,494,3,505,2021-08-14
"25 - 29",15,815,2,832,2021-08-14
"30 - 34",11,1190,10,1211,2021-08-14
"35 - 39",14,1375,10,1399,2021-08-14
"40 - 44",25,1719,12,1756,2021-08-14
"45 - 49",15,2895,26,2936,2021-08-14
"50 - 54",38,4488,77,4603,2021-08-14
"55 - 59",39,5454,130,5623,2021-08-14
"60 - 64",45,5453,243,5741,2021-08-14
"65 - 69",45,5339,509,5893,2021-08-14
"70 - 74",38,6285,1065,7388,2021-08-14
"75 - 79",50,5897,1736,7683,2021-08-14
"80 - 84",51,4578,1981,6610,2021-08-14
"85 - 89",33,2816,1454,4303,2021-08-14
">90",14,1235,611,1860,2021-08-14
