"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",59,1997,10,2066,2021-12-25
"20 - 24",6,676,3,685,2021-12-25
"25 - 29",20,1140,3,1163,2021-12-25
"30 - 34",15,1662,12,1689,2021-12-25
"35 - 39",40,1854,11,1905,2021-12-25
"40 - 44",26,2233,17,2276,2021-12-25
"45 - 49",35,3500,30,3565,2021-12-25
"50 - 54",86,5293,87,5466,2021-12-25
"55 - 59",101,6369,156,6626,2021-12-25
"60 - 64",116,6579,298,6993,2021-12-25
"65 - 69",167,6526,626,7319,2021-12-25
"70 - 74",217,7672,1323,9212,2021-12-25
"75 - 79",229,7410,2207,9846,2021-12-25
"80 - 84",196,5961,2591,8748,2021-12-25
"85 - 89",121,3782,1928,5831,2021-12-25
">90",46,1688,828,2562,2021-12-25
