"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",38,1488,6,1532,2021-09-15
"20 - 24",4,544,3,551,2021-09-15
"25 - 29",9,889,2,900,2021-09-15
"30 - 34",12,1280,11,1303,2021-09-15
"35 - 39",16,1466,10,1492,2021-09-15
"40 - 44",19,1823,13,1855,2021-09-15
"45 - 49",19,2992,26,3037,2021-09-15
"50 - 54",26,4618,77,4721,2021-09-15
"55 - 59",32,5597,133,5762,2021-09-15
"60 - 64",34,5567,246,5847,2021-09-15
"65 - 69",29,5453,517,5999,2021-09-15
"70 - 74",41,6406,1082,7529,2021-09-15
"75 - 79",45,6011,1777,7833,2021-09-15
"80 - 84",55,4680,2032,6767,2021-09-15
"85 - 89",37,2893,1486,4416,2021-09-15
">90",14,1275,625,1914,2021-09-15
