"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",58,1983,11,2052,2021-12-22
"20 - 24",4,675,3,682,2021-12-22
"25 - 29",19,1133,2,1154,2021-12-22
"30 - 34",22,1651,12,1685,2021-12-22
"35 - 39",32,1842,11,1885,2021-12-22
"40 - 44",33,2218,17,2268,2021-12-22
"45 - 49",38,3481,30,3549,2021-12-22
"50 - 54",77,5271,87,5435,2021-12-22
"55 - 59",119,6335,155,6609,2021-12-22
"60 - 64",130,6536,295,6961,2021-12-22
"65 - 69",176,6476,624,7276,2021-12-22
"70 - 74",234,7613,1309,9156,2021-12-22
"75 - 79",259,7349,2186,9794,2021-12-22
"80 - 84",242,5894,2572,8708,2021-12-22
"85 - 89",140,3749,1913,5802,2021-12-22
">90",53,1674,824,2551,2021-12-22
