"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",41,1480,6,1527,2021-09-13
"20 - 24",5,542,3,550,2021-09-13
"25 - 29",9,887,2,898,2021-09-13
"30 - 34",16,1273,11,1300,2021-09-13
"35 - 39",20,1459,10,1489,2021-09-13
"40 - 44",24,1813,13,1850,2021-09-13
"45 - 49",20,2985,26,3031,2021-09-13
"50 - 54",30,4613,77,4720,2021-09-13
"55 - 59",41,5583,133,5757,2021-09-13
"60 - 64",30,5563,245,5838,2021-09-13
"65 - 69",39,5445,517,6001,2021-09-13
"70 - 74",44,6396,1081,7521,2021-09-13
"75 - 79",50,6001,1776,7827,2021-09-13
"80 - 84",55,4670,2031,6756,2021-09-13
"85 - 89",36,2886,1484,4406,2021-09-13
">90",13,1272,625,1910,2021-09-13
