"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",32,1325,6,1363,2021-07-23
"20 - 24",11,457,3,471,2021-07-23
"25 - 29",17,751,2,770,2021-07-23
"30 - 34",13,1117,10,1140,2021-07-23
"35 - 39",18,1312,11,1341,2021-07-23
"40 - 44",22,1641,12,1675,2021-07-23
"45 - 49",25,2794,25,2844,2021-07-23
"50 - 54",41,4374,75,4490,2021-07-23
"55 - 59",39,5355,128,5522,2021-07-23
"60 - 64",42,5359,241,5642,2021-07-23
"65 - 69",27,5311,504,5842,2021-07-23
"70 - 74",28,6264,1057,7349,2021-07-23
"75 - 79",38,5869,1725,7632,2021-07-23
"80 - 84",36,4569,1961,6566,2021-07-23
"85 - 89",22,2801,1448,4271,2021-07-23
">90",9,1225,603,1837,2021-07-23
