"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",66,1904,11,1981,2021-12-11
"20 - 24",8,654,3,665,2021-12-11
"25 - 29",28,1093,2,1123,2021-12-11
"30 - 34",39,1584,12,1635,2021-12-11
"35 - 39",39,1783,11,1833,2021-12-11
"40 - 44",47,2151,16,2214,2021-12-11
"45 - 49",56,3389,30,3475,2021-12-11
"50 - 54",111,5130,84,5325,2021-12-11
"55 - 59",117,6191,151,6459,2021-12-11
"60 - 64",153,6331,283,6767,2021-12-11
"65 - 69",196,6259,597,7052,2021-12-11
"70 - 74",255,7351,1251,8857,2021-12-11
"75 - 79",373,7032,2110,9515,2021-12-11
"80 - 84",271,5670,2485,8426,2021-12-11
"85 - 89",186,3619,1841,5646,2021-12-11
">90",88,1600,788,2476,2021-12-11
