"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",42,1625,6,1673,2021-11-01
"20 - 24",3,576,3,582,2021-11-01
"25 - 29",18,943,2,963,2021-11-01
"30 - 34",9,1379,11,1399,2021-11-01
"35 - 39",18,1550,10,1578,2021-11-01
"40 - 44",30,1923,13,1966,2021-11-01
"45 - 49",14,3115,28,3157,2021-11-01
"50 - 54",32,4758,77,4867,2021-11-01
"55 - 59",46,5750,138,5934,2021-11-01
"60 - 64",70,5730,252,6052,2021-11-01
"65 - 69",76,5604,526,6206,2021-11-01
"70 - 74",110,6565,1105,7780,2021-11-01
"75 - 79",138,6177,1811,8126,2021-11-01
"80 - 84",152,4847,2093,7092,2021-11-01
"85 - 89",105,2993,1539,4637,2021-11-01
">90",56,1326,654,2036,2021-11-01
