"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",30,1389,6,1425,2021-08-13
"20 - 24",8,493,3,504,2021-08-13
"25 - 29",12,816,2,830,2021-08-13
"30 - 34",15,1187,10,1212,2021-08-13
"35 - 39",14,1372,10,1396,2021-08-13
"40 - 44",25,1714,12,1751,2021-08-13
"45 - 49",15,2894,26,2935,2021-08-13
"50 - 54",39,4485,77,4601,2021-08-13
"55 - 59",37,5451,130,5618,2021-08-13
"60 - 64",41,5450,243,5734,2021-08-13
"65 - 69",44,5336,507,5887,2021-08-13
"70 - 74",41,6282,1065,7388,2021-08-13
"75 - 79",47,5892,1736,7675,2021-08-13
"80 - 84",45,4578,1981,6604,2021-08-13
"85 - 89",31,2815,1454,4300,2021-08-13
">90",19,1233,611,1863,2021-08-13
