"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",37,1456,6,1499,2021-09-06
"20 - 24",1,536,3,540,2021-09-06
"25 - 29",8,877,2,887,2021-09-06
"30 - 34",11,1260,11,1282,2021-09-06
"35 - 39",16,1439,10,1465,2021-09-06
"40 - 44",25,1797,13,1835,2021-09-06
"45 - 49",18,2962,26,3006,2021-09-06
"50 - 54",30,4595,77,4702,2021-09-06
"55 - 59",42,5563,131,5736,2021-09-06
"60 - 64",34,5542,244,5820,2021-09-06
"65 - 69",34,5423,514,5971,2021-09-06
"70 - 74",47,6370,1078,7495,2021-09-06
"75 - 79",61,5976,1764,7801,2021-09-06
"80 - 84",48,4655,2023,6726,2021-09-06
"85 - 89",34,2871,1482,4387,2021-09-06
">90",13,1267,623,1903,2021-09-06
