"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",39,1645,7,1691,2021-11-05
"20 - 24",10,581,3,594,2021-11-05
"25 - 29",16,953,2,971,2021-11-05
"30 - 34",19,1388,11,1418,2021-11-05
"35 - 39",15,1566,10,1591,2021-11-05
"40 - 44",33,1939,13,1985,2021-11-05
"45 - 49",31,3126,28,3185,2021-11-05
"50 - 54",47,4780,77,4904,2021-11-05
"55 - 59",41,5778,138,5957,2021-11-05
"60 - 64",76,5764,255,6095,2021-11-05
"65 - 69",95,5635,527,6257,2021-11-05
"70 - 74",133,6606,1115,7854,2021-11-05
"75 - 79",183,6232,1829,8244,2021-11-05
"80 - 84",171,4904,2112,7187,2021-11-05
"85 - 89",117,3034,1560,4711,2021-11-05
">90",59,1350,666,2075,2021-11-05
