"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",28,1347,6,1381,2021-07-31
"20 - 24",9,475,3,487,2021-07-31
"25 - 29",12,777,2,791,2021-07-31
"30 - 34",17,1144,10,1171,2021-07-31
"35 - 39",26,1333,10,1369,2021-07-31
"40 - 44",20,1664,12,1696,2021-07-31
"45 - 49",31,2838,25,2894,2021-07-31
"50 - 54",45,4418,76,4539,2021-07-31
"55 - 59",45,5383,130,5558,2021-07-31
"60 - 64",44,5379,241,5664,2021-07-31
"65 - 69",29,5304,503,5836,2021-07-31
"70 - 74",45,6245,1057,7347,2021-07-31
"75 - 79",52,5851,1724,7627,2021-07-31
"80 - 84",46,4541,1965,6552,2021-07-31
"85 - 89",32,2781,1443,4256,2021-07-31
">90",15,1218,604,1837,2021-07-31
