"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",35,1300,6,1341,2021-07-18
"20 - 24",7,443,3,453,2021-07-18
"25 - 29",16,735,2,753,2021-07-18
"30 - 34",11,1094,10,1115,2021-07-18
"35 - 39",13,1286,11,1310,2021-07-18
"40 - 44",10,1632,12,1654,2021-07-18
"45 - 49",12,2781,25,2818,2021-07-18
"50 - 54",34,4348,73,4455,2021-07-18
"55 - 59",26,5341,128,5495,2021-07-18
"60 - 64",18,5346,241,5605,2021-07-18
"65 - 69",19,5298,503,5820,2021-07-18
"70 - 74",21,6259,1056,7336,2021-07-18
"75 - 79",22,5858,1724,7604,2021-07-18
"80 - 84",18,4563,1960,6541,2021-07-18
"85 - 89",11,2790,1447,4248,2021-07-18
">90",11,1220,602,1833,2021-07-18
