"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",35,1471,6,1512,2021-09-12
"20 - 24",3,540,3,546,2021-09-12
"25 - 29",8,886,2,896,2021-09-12
"30 - 34",16,1270,11,1297,2021-09-12
"35 - 39",22,1452,10,1484,2021-09-12
"40 - 44",26,1810,13,1849,2021-09-12
"45 - 49",21,2979,26,3026,2021-09-12
"50 - 54",28,4608,77,4713,2021-09-12
"55 - 59",48,5578,131,5757,2021-09-12
"60 - 64",34,5559,245,5838,2021-09-12
"65 - 69",41,5438,516,5995,2021-09-12
"70 - 74",46,6392,1080,7518,2021-09-12
"75 - 79",55,5993,1774,7822,2021-09-12
"80 - 84",54,4668,2028,6750,2021-09-12
"85 - 89",33,2885,1484,4402,2021-09-12
">90",12,1272,625,1909,2021-09-12
