"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",46,1482,6,1534,2021-09-14
"20 - 24",3,544,3,550,2021-09-14
"25 - 29",10,887,2,899,2021-09-14
"30 - 34",15,1274,11,1300,2021-09-14
"35 - 39",18,1464,10,1492,2021-09-14
"40 - 44",21,1819,13,1853,2021-09-14
"45 - 49",23,2987,26,3036,2021-09-14
"50 - 54",32,4613,77,4722,2021-09-14
"55 - 59",36,5592,133,5761,2021-09-14
"60 - 64",30,5566,246,5842,2021-09-14
"65 - 69",31,5450,517,5998,2021-09-14
"70 - 74",43,6402,1082,7527,2021-09-14
"75 - 79",47,6004,1777,7828,2021-09-14
"80 - 84",60,4673,2031,6764,2021-09-14
"85 - 89",39,2888,1486,4413,2021-09-14
">90",16,1273,625,1914,2021-09-14
