"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",48,1659,9,1716,2021-11-11
"20 - 24",5,591,3,599,2021-11-11
"25 - 29",25,968,2,995,2021-11-11
"30 - 34",14,1413,11,1438,2021-11-11
"35 - 39",27,1583,10,1620,2021-11-11
"40 - 44",33,1968,14,2015,2021-11-11
"45 - 49",31,3158,28,3217,2021-11-11
"50 - 54",45,4820,78,4943,2021-11-11
"55 - 59",66,5806,138,6010,2021-11-11
"60 - 64",91,5826,257,6174,2021-11-11
"65 - 69",114,5700,535,6349,2021-11-11
"70 - 74",161,6690,1128,7979,2021-11-11
"75 - 79",217,6325,1856,8398,2021-11-11
"80 - 84",225,4986,2138,7349,2021-11-11
"85 - 89",157,3093,1584,4834,2021-11-11
">90",65,1380,678,2123,2021-11-11
