"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",64,1972,11,2047,2021-12-21
"20 - 24",4,674,3,681,2021-12-21
"25 - 29",21,1131,2,1154,2021-12-21
"30 - 34",25,1646,12,1683,2021-12-21
"35 - 39",32,1838,11,1881,2021-12-21
"40 - 44",32,2211,17,2260,2021-12-21
"45 - 49",39,3477,30,3546,2021-12-21
"50 - 54",80,5259,87,5426,2021-12-21
"55 - 59",108,6327,155,6590,2021-12-21
"60 - 64",128,6520,295,6943,2021-12-21
"65 - 69",186,6454,622,7262,2021-12-21
"70 - 74",251,7582,1305,9138,2021-12-21
"75 - 79",279,7315,2175,9769,2021-12-21
"80 - 84",258,5868,2566,8692,2021-12-21
"85 - 89",139,3739,1912,5790,2021-12-21
">90",60,1665,822,2547,2021-12-21
