"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",34,1503,6,1543,2021-09-27
"20 - 24",2,550,3,555,2021-09-27
"25 - 29",8,902,2,912,2021-09-27
"30 - 34",8,1301,11,1320,2021-09-27
"35 - 39",9,1489,10,1508,2021-09-27
"40 - 44",17,1855,13,1885,2021-09-27
"45 - 49",20,3020,27,3067,2021-09-27
"50 - 54",27,4652,77,4756,2021-09-27
"55 - 59",28,5629,133,5790,2021-09-27
"60 - 64",30,5605,246,5881,2021-09-27
"65 - 69",24,5486,520,6030,2021-09-27
"70 - 74",28,6436,1089,7553,2021-09-27
"75 - 79",30,6040,1789,7859,2021-09-27
"80 - 84",43,4714,2040,6797,2021-09-27
"85 - 89",26,2912,1495,4433,2021-09-27
">90",8,1283,631,1922,2021-09-27
