"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",35,1380,6,1421,2021-08-11
"20 - 24",8,493,3,504,2021-08-11
"25 - 29",17,805,2,824,2021-08-11
"30 - 34",15,1181,10,1206,2021-08-11
"35 - 39",11,1364,10,1385,2021-08-11
"40 - 44",22,1703,12,1737,2021-08-11
"45 - 49",26,2885,25,2936,2021-08-11
"50 - 54",40,4474,77,4591,2021-08-11
"55 - 59",33,5444,130,5607,2021-08-11
"60 - 64",35,5444,243,5722,2021-08-11
"65 - 69",44,5329,507,5880,2021-08-11
"70 - 74",43,6277,1065,7385,2021-08-11
"75 - 79",47,5883,1734,7664,2021-08-11
"80 - 84",39,4574,1979,6592,2021-08-11
"85 - 89",34,2808,1453,4295,2021-08-11
">90",23,1229,609,1861,2021-08-11
