"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",30,1499,6,1535,2021-09-25
"20 - 24",1,549,3,553,2021-09-25
"25 - 29",7,901,2,910,2021-09-25
"30 - 34",9,1298,11,1318,2021-09-25
"35 - 39",10,1485,10,1505,2021-09-25
"40 - 44",20,1849,13,1882,2021-09-25
"45 - 49",19,3017,27,3063,2021-09-25
"50 - 54",30,4647,77,4754,2021-09-25
"55 - 59",30,5623,133,5786,2021-09-25
"60 - 64",22,5600,246,5868,2021-09-25
"65 - 69",22,5480,520,6022,2021-09-25
"70 - 74",34,6429,1088,7551,2021-09-25
"75 - 79",30,6037,1787,7854,2021-09-25
"80 - 84",39,4711,2040,6790,2021-09-25
"85 - 89",24,2910,1494,4428,2021-09-25
">90",8,1281,631,1920,2021-09-25
