"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",45,1310,6,1361,2021-07-21
"20 - 24",11,452,3,466,2021-07-21
"25 - 29",16,741,2,759,2021-07-21
"30 - 34",17,1107,10,1134,2021-07-21
"35 - 39",25,1295,11,1331,2021-07-21
"40 - 44",18,1636,12,1666,2021-07-21
"45 - 49",21,2787,25,2833,2021-07-21
"50 - 54",46,4361,74,4481,2021-07-21
"55 - 59",32,5349,128,5509,2021-07-21
"60 - 64",33,5354,241,5628,2021-07-21
"65 - 69",28,5305,504,5837,2021-07-21
"70 - 74",29,6260,1057,7346,2021-07-21
"75 - 79",34,5862,1724,7620,2021-07-21
"80 - 84",25,4568,1960,6553,2021-07-21
"85 - 89",17,2797,1448,4262,2021-07-21
">90",11,1222,602,1835,2021-07-21
