"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",37,1478,6,1521,2021-09-16
"20 - 24",3,545,3,551,2021-09-16
"25 - 29",8,890,2,900,2021-09-16
"30 - 34",12,1281,11,1304,2021-09-16
"35 - 39",13,1470,10,1493,2021-09-16
"40 - 44",16,1826,13,1855,2021-09-16
"45 - 49",21,2995,26,3042,2021-09-16
"50 - 54",26,4620,77,4723,2021-09-16
"55 - 59",32,5600,133,5765,2021-09-16
"60 - 64",37,5569,246,5852,2021-09-16
"65 - 69",29,5455,518,6002,2021-09-16
"70 - 74",44,6407,1082,7533,2021-09-16
"75 - 79",52,6012,1777,7841,2021-09-16
"80 - 84",57,4681,2032,6770,2021-09-16
"85 - 89",35,2895,1488,4418,2021-09-16
">90",14,1275,625,1914,2021-09-16
