"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",57,1951,11,2019,2021-12-17
"20 - 24",11,667,3,681,2021-12-17
"25 - 29",22,1120,2,1144,2021-12-17
"30 - 34",25,1628,12,1665,2021-12-17
"35 - 39",28,1821,11,1860,2021-12-17
"40 - 44",42,2192,16,2250,2021-12-17
"45 - 49",44,3450,30,3524,2021-12-17
"50 - 54",105,5212,86,5403,2021-12-17
"55 - 59",101,6285,155,6541,2021-12-17
"60 - 64",145,6459,288,6892,2021-12-17
"65 - 69",183,6384,609,7176,2021-12-17
"70 - 74",251,7501,1287,9039,2021-12-17
"75 - 79",297,7219,2159,9675,2021-12-17
"80 - 84",245,5805,2541,8591,2021-12-17
"85 - 89",164,3695,1886,5745,2021-12-17
">90",68,1643,814,2525,2021-12-17
