"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",58,2035,10,2103,2021-12-31
"20 - 24",10,683,3,696,2021-12-31
"25 - 29",20,1158,3,1181,2021-12-31
"30 - 34",19,1689,13,1721,2021-12-31
"35 - 39",25,1892,11,1928,2021-12-31
"40 - 44",29,2255,17,2301,2021-12-31
"45 - 49",38,3527,30,3595,2021-12-31
"50 - 54",76,5349,89,5514,2021-12-31
"55 - 59",87,6447,160,6694,2021-12-31
"60 - 64",112,6654,306,7072,2021-12-31
"65 - 69",132,6639,638,7409,2021-12-31
"70 - 74",184,7786,1339,9309,2021-12-31
"75 - 79",222,7504,2234,9960,2021-12-31
"80 - 84",169,6047,2627,8843,2021-12-31
"85 - 89",98,3835,1955,5888,2021-12-31
">90",35,1716,840,2591,2021-12-31
