"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",33,1461,6,1500,2021-09-07
"20 - 24",2,536,3,541,2021-09-07
"25 - 29",9,878,2,889,2021-09-07
"30 - 34",16,1260,11,1287,2021-09-07
"35 - 39",15,1442,10,1467,2021-09-07
"40 - 44",25,1798,13,1836,2021-09-07
"45 - 49",19,2963,26,3008,2021-09-07
"50 - 54",31,4595,77,4703,2021-09-07
"55 - 59",47,5565,131,5743,2021-09-07
"60 - 64",33,5544,244,5821,2021-09-07
"65 - 69",37,5424,515,5976,2021-09-07
"70 - 74",46,6371,1078,7495,2021-09-07
"75 - 79",57,5978,1766,7801,2021-09-07
"80 - 84",52,4655,2023,6730,2021-09-07
"85 - 89",26,2879,1483,4388,2021-09-07
">90",16,1267,623,1906,2021-09-07
