"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",57,2017,10,2084,2021-12-28
"20 - 24",6,679,3,688,2021-12-28
"25 - 29",15,1152,3,1170,2021-12-28
"30 - 34",18,1675,13,1706,2021-12-28
"35 - 39",27,1877,11,1915,2021-12-28
"40 - 44",20,2247,17,2284,2021-12-28
"45 - 49",36,3510,30,3576,2021-12-28
"50 - 54",85,5322,87,5494,2021-12-28
"55 - 59",99,6407,157,6663,2021-12-28
"60 - 64",115,6614,305,7034,2021-12-28
"65 - 69",151,6582,633,7366,2021-12-28
"70 - 74",208,7730,1332,9270,2021-12-28
"75 - 79",226,7455,2222,9903,2021-12-28
"80 - 84",182,5992,2615,8789,2021-12-28
"85 - 89",117,3804,1943,5864,2021-12-28
">90",46,1702,833,2581,2021-12-28
