"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",61,1909,11,1981,2021-12-12
"20 - 24",8,655,3,666,2021-12-12
"25 - 29",27,1095,2,1124,2021-12-12
"30 - 34",38,1586,12,1636,2021-12-12
"35 - 39",36,1790,11,1837,2021-12-12
"40 - 44",46,2157,16,2219,2021-12-12
"45 - 49",57,3392,30,3479,2021-12-12
"50 - 54",115,5132,84,5331,2021-12-12
"55 - 59",125,6195,151,6471,2021-12-12
"60 - 64",162,6337,283,6782,2021-12-12
"65 - 69",199,6263,598,7060,2021-12-12
"70 - 74",256,7359,1258,8873,2021-12-12
"75 - 79",364,7041,2117,9522,2021-12-12
"80 - 84",266,5679,2491,8436,2021-12-12
"85 - 89",175,3627,1846,5648,2021-12-12
">90",83,1602,793,2478,2021-12-12
