"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",32,1329,6,1367,2021-07-26
"20 - 24",13,461,3,477,2021-07-26
"25 - 29",16,761,2,779,2021-07-26
"30 - 34",18,1124,10,1152,2021-07-26
"35 - 39",16,1318,11,1345,2021-07-26
"40 - 44",24,1649,12,1685,2021-07-26
"45 - 49",32,2813,25,2870,2021-07-26
"50 - 54",46,4387,76,4509,2021-07-26
"55 - 59",47,5365,129,5541,2021-07-26
"60 - 64",46,5373,242,5661,2021-07-26
"65 - 69",29,5316,504,5849,2021-07-26
"70 - 74",40,6267,1057,7364,2021-07-26
"75 - 79",43,5872,1727,7642,2021-07-26
"80 - 84",41,4573,1962,6576,2021-07-26
"85 - 89",32,2803,1448,4283,2021-07-26
">90",17,1225,604,1846,2021-07-26
