"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",29,1397,6,1432,2021-08-16
"20 - 24",9,496,3,508,2021-08-16
"25 - 29",20,817,2,839,2021-08-16
"30 - 34",12,1193,10,1215,2021-08-16
"35 - 39",19,1377,10,1406,2021-08-16
"40 - 44",23,1723,12,1758,2021-08-16
"45 - 49",16,2900,26,2942,2021-08-16
"50 - 54",36,4497,77,4610,2021-08-16
"55 - 59",39,5462,130,5631,2021-08-16
"60 - 64",47,5463,243,5753,2021-08-16
"65 - 69",42,5345,510,5897,2021-08-16
"70 - 74",38,6288,1065,7391,2021-08-16
"75 - 79",47,5906,1736,7689,2021-08-16
"80 - 84",55,4581,1982,6618,2021-08-16
"85 - 89",35,2821,1456,4312,2021-08-16
">90",14,1238,612,1864,2021-08-16
