"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",44,1631,6,1681,2021-11-02
"20 - 24",6,578,3,587,2021-11-02
"25 - 29",15,946,2,963,2021-11-02
"30 - 34",10,1380,11,1401,2021-11-02
"35 - 39",17,1553,10,1580,2021-11-02
"40 - 44",33,1927,13,1973,2021-11-02
"45 - 49",28,3116,28,3172,2021-11-02
"50 - 54",44,4760,77,4881,2021-11-02
"55 - 59",41,5759,138,5938,2021-11-02
"60 - 64",70,5739,254,6063,2021-11-02
"65 - 69",90,5615,527,6232,2021-11-02
"70 - 74",124,6574,1106,7804,2021-11-02
"75 - 79",177,6190,1814,8181,2021-11-02
"80 - 84",158,4859,2098,7115,2021-11-02
"85 - 89",117,2999,1543,4659,2021-11-02
">90",57,1329,660,2046,2021-11-02
