"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",56,1879,11,1946,2021-12-07
"20 - 24",15,639,3,657,2021-12-07
"25 - 29",29,1077,2,1108,2021-12-07
"30 - 34",32,1551,12,1595,2021-12-07
"35 - 39",41,1750,11,1802,2021-12-07
"40 - 44",44,2121,16,2181,2021-12-07
"45 - 49",57,3353,30,3440,2021-12-07
"50 - 54",92,5087,83,5262,2021-12-07
"55 - 59",124,6131,150,6405,2021-12-07
"60 - 64",142,6264,282,6688,2021-12-07
"65 - 69",198,6175,585,6958,2021-12-07
"70 - 74",300,7235,1228,8763,2021-12-07
"75 - 79",378,6916,2077,9371,2021-12-07
"80 - 84",293,5583,2438,8314,2021-12-07
"85 - 89",212,3540,1818,5570,2021-12-07
">90",91,1569,777,2437,2021-12-07
