"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",46,1739,10,1795,2021-11-21
"20 - 24",6,604,3,613,2021-11-21
"25 - 29",25,1001,2,1028,2021-11-21
"30 - 34",31,1459,11,1501,2021-11-21
"35 - 39",34,1639,10,1683,2021-11-21
"40 - 44",31,2014,15,2060,2021-11-21
"45 - 49",52,3214,28,3294,2021-11-21
"50 - 54",72,4896,79,5047,2021-11-21
"55 - 59",78,5908,142,6128,2021-11-21
"60 - 64",130,5939,263,6332,2021-11-21
"65 - 69",170,5836,550,6556,2021-11-21
"70 - 74",215,6856,1152,8223,2021-11-21
"75 - 79",285,6515,1911,8711,2021-11-21
"80 - 84",291,5172,2233,7696,2021-11-21
"85 - 89",205,3245,1646,5096,2021-11-21
">90",95,1431,710,2236,2021-11-21
