"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",32,1322,6,1360,2021-07-24
"20 - 24",8,459,3,470,2021-07-24
"25 - 29",19,755,2,776,2021-07-24
"30 - 34",17,1117,10,1144,2021-07-24
"35 - 39",18,1312,11,1341,2021-07-24
"40 - 44",26,1642,12,1680,2021-07-24
"45 - 49",29,2798,25,2852,2021-07-24
"50 - 54",40,4377,76,4493,2021-07-24
"55 - 59",40,5361,129,5530,2021-07-24
"60 - 64",43,5362,242,5647,2021-07-24
"65 - 69",27,5312,504,5843,2021-07-24
"70 - 74",28,6264,1057,7349,2021-07-24
"75 - 79",38,5871,1726,7635,2021-07-24
"80 - 84",36,4571,1962,6569,2021-07-24
"85 - 89",25,2800,1448,4273,2021-07-24
">90",12,1225,603,1840,2021-07-24
