"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",39,1337,6,1382,2021-07-29
"20 - 24",11,470,3,484,2021-07-29
"25 - 29",18,769,2,789,2021-07-29
"30 - 34",14,1137,10,1161,2021-07-29
"35 - 39",20,1321,10,1351,2021-07-29
"40 - 44",21,1653,12,1686,2021-07-29
"45 - 49",37,2825,25,2887,2021-07-29
"50 - 54",45,4404,76,4525,2021-07-29
"55 - 59",45,5375,130,5550,2021-07-29
"60 - 64",43,5369,241,5653,2021-07-29
"65 - 69",25,5302,503,5830,2021-07-29
"70 - 74",42,6240,1057,7339,2021-07-29
"75 - 79",50,5844,1723,7617,2021-07-29
"80 - 84",49,4533,1964,6546,2021-07-29
"85 - 89",42,2776,1442,4260,2021-07-29
">90",17,1212,604,1833,2021-07-29
