"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",30,1332,6,1368,2021-07-27
"20 - 24",17,462,3,482,2021-07-27
"25 - 29",16,765,2,783,2021-07-27
"30 - 34",19,1131,10,1160,2021-07-27
"35 - 39",21,1318,11,1350,2021-07-27
"40 - 44",22,1654,12,1688,2021-07-27
"45 - 49",39,2815,25,2879,2021-07-27
"50 - 54",47,4396,76,4519,2021-07-27
"55 - 59",50,5373,129,5552,2021-07-27
"60 - 64",50,5376,242,5668,2021-07-27
"65 - 69",30,5317,504,5851,2021-07-27
"70 - 74",50,6270,1057,7377,2021-07-27
"75 - 79",50,5875,1729,7654,2021-07-27
"80 - 84",44,4574,1963,6581,2021-07-27
"85 - 89",32,2803,1451,4286,2021-07-27
">90",20,1226,605,1851,2021-07-27
