"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",44,1591,6,1641,2021-10-23
"20 - 24",3,559,3,565,2021-10-23
"25 - 29",8,932,2,942,2021-10-23
"30 - 34",12,1347,11,1370,2021-10-23
"35 - 39",14,1530,10,1554,2021-10-23
"40 - 44",16,1902,13,1931,2021-10-23
"45 - 49",23,3081,28,3132,2021-10-23
"50 - 54",34,4725,77,4836,2021-10-23
"55 - 59",43,5702,135,5880,2021-10-23
"60 - 64",36,5687,251,5974,2021-10-23
"65 - 69",43,5563,523,6129,2021-10-23
"70 - 74",66,6513,1098,7677,2021-10-23
"75 - 79",64,6120,1798,7982,2021-10-23
"80 - 84",83,4798,2067,6948,2021-10-23
"85 - 89",63,2965,1512,4540,2021-10-23
">90",27,1306,644,1977,2021-10-23
