"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",35,1300,6,1341,2021-07-17
"20 - 24",9,440,3,452,2021-07-17
"25 - 29",13,735,2,750,2021-07-17
"30 - 34",9,1093,10,1112,2021-07-17
"35 - 39",10,1285,11,1306,2021-07-17
"40 - 44",12,1631,12,1655,2021-07-17
"45 - 49",13,2779,25,2817,2021-07-17
"50 - 54",30,4348,73,4451,2021-07-17
"55 - 59",23,5341,128,5492,2021-07-17
"60 - 64",17,5346,241,5604,2021-07-17
"65 - 69",19,5298,503,5820,2021-07-17
"70 - 74",23,6258,1056,7337,2021-07-17
"75 - 79",21,5858,1724,7603,2021-07-17
"80 - 84",17,4563,1960,6540,2021-07-17
"85 - 89",11,2790,1447,4248,2021-07-17
">90",10,1220,602,1832,2021-07-17
