"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",36,1303,6,1345,2021-07-19
"20 - 24",6,447,3,456,2021-07-19
"25 - 29",10,737,2,749,2021-07-19
"30 - 34",10,1102,10,1122,2021-07-19
"35 - 39",16,1288,11,1315,2021-07-19
"40 - 44",14,1633,12,1659,2021-07-19
"45 - 49",14,2783,25,2822,2021-07-19
"50 - 54",35,4352,73,4460,2021-07-19
"55 - 59",31,5342,128,5501,2021-07-19
"60 - 64",21,5348,241,5610,2021-07-19
"65 - 69",18,5301,503,5822,2021-07-19
"70 - 74",23,6259,1056,7338,2021-07-19
"75 - 79",22,5859,1724,7605,2021-07-19
"80 - 84",20,4564,1960,6544,2021-07-19
"85 - 89",12,2793,1447,4252,2021-07-19
">90",10,1220,602,1832,2021-07-19
