"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",32,1499,6,1537,2021-09-24
"20 - 24",1,549,3,553,2021-09-24
"25 - 29",7,901,2,910,2021-09-24
"30 - 34",9,1298,11,1318,2021-09-24
"35 - 39",10,1485,10,1505,2021-09-24
"40 - 44",21,1847,13,1881,2021-09-24
"45 - 49",18,3017,27,3062,2021-09-24
"50 - 54",28,4647,77,4752,2021-09-24
"55 - 59",30,5623,133,5786,2021-09-24
"60 - 64",23,5597,246,5866,2021-09-24
"65 - 69",26,5478,520,6024,2021-09-24
"70 - 74",40,6422,1087,7549,2021-09-24
"75 - 79",35,6034,1786,7855,2021-09-24
"80 - 84",38,4706,2040,6784,2021-09-24
"85 - 89",24,2910,1494,4428,2021-09-24
">90",7,1281,631,1919,2021-09-24
