"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",42,1476,6,1524,2021-09-18
"20 - 24",2,546,3,551,2021-09-18
"25 - 29",10,892,2,904,2021-09-18
"30 - 34",11,1285,11,1307,2021-09-18
"35 - 39",11,1476,10,1497,2021-09-18
"40 - 44",16,1830,13,1859,2021-09-18
"45 - 49",17,3001,27,3045,2021-09-18
"50 - 54",37,4621,77,4735,2021-09-18
"55 - 59",33,5606,133,5772,2021-09-18
"60 - 64",34,5576,246,5856,2021-09-18
"65 - 69",31,5458,518,6007,2021-09-18
"70 - 74",38,6413,1083,7534,2021-09-18
"75 - 79",39,6022,1779,7840,2021-09-18
"80 - 84",58,4686,2034,6778,2021-09-18
"85 - 89",33,2898,1489,4420,2021-09-18
">90",13,1277,626,1916,2021-09-18
