"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",56,1990,10,2056,2021-12-23
"20 - 24",4,676,3,683,2021-12-23
"25 - 29",20,1136,3,1159,2021-12-23
"30 - 34",18,1657,12,1687,2021-12-23
"35 - 39",40,1844,11,1895,2021-12-23
"40 - 44",34,2223,17,2274,2021-12-23
"45 - 49",38,3490,30,3558,2021-12-23
"50 - 54",75,5278,87,5440,2021-12-23
"55 - 59",112,6345,155,6612,2021-12-23
"60 - 64",131,6546,295,6972,2021-12-23
"65 - 69",174,6496,623,7293,2021-12-23
"70 - 74",226,7635,1314,9175,2021-12-23
"75 - 79",255,7367,2196,9818,2021-12-23
"80 - 84",223,5922,2581,8726,2021-12-23
"85 - 89",138,3765,1916,5819,2021-12-23
">90",46,1683,827,2556,2021-12-23
