"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",29,1463,6,1498,2021-09-08
"20 - 24",1,536,3,540,2021-09-08
"25 - 29",11,879,2,892,2021-09-08
"30 - 34",15,1262,11,1288,2021-09-08
"35 - 39",16,1446,10,1472,2021-09-08
"40 - 44",24,1801,13,1838,2021-09-08
"45 - 49",19,2966,26,3011,2021-09-08
"50 - 54",32,4596,77,4705,2021-09-08
"55 - 59",45,5571,131,5747,2021-09-08
"60 - 64",31,5548,245,5824,2021-09-08
"65 - 69",35,5427,515,5977,2021-09-08
"70 - 74",44,6375,1079,7498,2021-09-08
"75 - 79",61,5979,1767,7807,2021-09-08
"80 - 84",53,4656,2024,6733,2021-09-08
"85 - 89",26,2879,1483,4388,2021-09-08
">90",14,1268,624,1906,2021-09-08
