"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",28,1372,6,1406,2021-08-08
"20 - 24",5,488,3,496,2021-08-08
"25 - 29",17,794,2,813,2021-08-08
"30 - 34",13,1172,10,1195,2021-08-08
"35 - 39",16,1355,10,1381,2021-08-08
"40 - 44",21,1693,12,1726,2021-08-08
"45 - 49",24,2875,25,2924,2021-08-08
"50 - 54",31,4458,77,4566,2021-08-08
"55 - 59",38,5425,130,5593,2021-08-08
"60 - 64",43,5426,243,5712,2021-08-08
"65 - 69",41,5324,505,5870,2021-08-08
"70 - 74",50,6267,1063,7380,2021-08-08
"75 - 79",48,5872,1731,7651,2021-08-08
"80 - 84",43,4561,1972,6576,2021-08-08
"85 - 89",38,2795,1448,4281,2021-08-08
">90",21,1227,609,1857,2021-08-08
