"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",41,1649,7,1697,2021-11-06
"20 - 24",10,582,3,595,2021-11-06
"25 - 29",16,955,2,973,2021-11-06
"30 - 34",16,1394,11,1421,2021-11-06
"35 - 39",19,1569,10,1598,2021-11-06
"40 - 44",32,1944,13,1989,2021-11-06
"45 - 49",34,3130,28,3192,2021-11-06
"50 - 54",41,4783,77,4901,2021-11-06
"55 - 59",45,5783,138,5966,2021-11-06
"60 - 64",88,5770,255,6113,2021-11-06
"65 - 69",102,5640,527,6269,2021-11-06
"70 - 74",138,6617,1118,7873,2021-11-06
"75 - 79",190,6243,1829,8262,2021-11-06
"80 - 84",185,4917,2115,7217,2021-11-06
"85 - 89",128,3040,1562,4730,2021-11-06
">90",60,1353,668,2081,2021-11-06
