"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",33,1507,6,1546,2021-09-29
"20 - 24",2,551,3,556,2021-09-29
"25 - 29",7,904,2,913,2021-09-29
"30 - 34",6,1304,11,1321,2021-09-29
"35 - 39",10,1489,10,1509,2021-09-29
"40 - 44",15,1863,13,1891,2021-09-29
"45 - 49",11,3029,28,3068,2021-09-29
"50 - 54",30,4660,77,4767,2021-09-29
"55 - 59",30,5633,133,5796,2021-09-29
"60 - 64",28,5610,246,5884,2021-09-29
"65 - 69",27,5494,520,6041,2021-09-29
"70 - 74",26,6440,1089,7555,2021-09-29
"75 - 79",34,6040,1789,7863,2021-09-29
"80 - 84",46,4718,2043,6807,2021-09-29
"85 - 89",24,2915,1495,4434,2021-09-29
">90",8,1284,631,1923,2021-09-29
