"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",38,1330,6,1374,2021-07-28
"20 - 24",14,467,3,484,2021-07-28
"25 - 29",20,764,2,786,2021-07-28
"30 - 34",17,1132,10,1159,2021-07-28
"35 - 39",21,1318,10,1349,2021-07-28
"40 - 44",24,1651,12,1687,2021-07-28
"45 - 49",34,2822,25,2881,2021-07-28
"50 - 54",45,4397,76,4518,2021-07-28
"55 - 59",54,5366,130,5550,2021-07-28
"60 - 64",50,5367,241,5658,2021-07-28
"65 - 69",32,5298,503,5833,2021-07-28
"70 - 74",53,6232,1057,7342,2021-07-28
"75 - 79",49,5841,1723,7613,2021-07-28
"80 - 84",46,4532,1962,6540,2021-07-28
"85 - 89",37,2772,1441,4250,2021-07-28
">90",18,1208,603,1829,2021-07-28
