"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",29,1436,6,1471,2021-08-29
"20 - 24",5,520,3,528,2021-08-29
"25 - 29",11,854,2,867,2021-08-29
"30 - 34",18,1234,11,1263,2021-08-29
"35 - 39",18,1419,10,1447,2021-08-29
"40 - 44",18,1775,13,1806,2021-08-29
"45 - 49",17,2940,26,2983,2021-08-29
"50 - 54",36,4561,77,4674,2021-08-29
"55 - 59",31,5530,130,5691,2021-08-29
"60 - 64",38,5508,243,5789,2021-08-29
"65 - 69",26,5400,513,5939,2021-08-29
"70 - 74",44,6348,1072,7464,2021-08-29
"75 - 79",60,5950,1749,7759,2021-08-29
"80 - 84",45,4627,2009,6681,2021-08-29
"85 - 89",32,2857,1472,4361,2021-08-29
">90",13,1256,621,1890,2021-08-29
