"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",57,1918,11,1986,2021-12-13
"20 - 24",8,659,3,670,2021-12-13
"25 - 29",26,1099,2,1127,2021-12-13
"30 - 34",34,1598,12,1644,2021-12-13
"35 - 39",38,1796,11,1845,2021-12-13
"40 - 44",46,2166,16,2228,2021-12-13
"45 - 49",60,3400,30,3490,2021-12-13
"50 - 54",109,5153,85,5347,2021-12-13
"55 - 59",118,6216,151,6485,2021-12-13
"60 - 64",172,6353,283,6808,2021-12-13
"65 - 69",200,6282,602,7084,2021-12-13
"70 - 74",265,7377,1264,8906,2021-12-13
"75 - 79",359,7079,2128,9566,2021-12-13
"80 - 84",270,5699,2503,8472,2021-12-13
"85 - 89",185,3634,1852,5671,2021-12-13
">90",84,1609,797,2490,2021-12-13
