"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",42,1494,6,1542,2021-09-22
"20 - 24",1,548,3,552,2021-09-22
"25 - 29",9,899,2,910,2021-09-22
"30 - 34",13,1292,11,1316,2021-09-22
"35 - 39",10,1480,10,1500,2021-09-22
"40 - 44",17,1841,13,1871,2021-09-22
"45 - 49",16,3010,27,3053,2021-09-22
"50 - 54",37,4634,77,4748,2021-09-22
"55 - 59",32,5617,133,5782,2021-09-22
"60 - 64",26,5590,246,5862,2021-09-22
"65 - 69",32,5472,519,6023,2021-09-22
"70 - 74",40,6418,1086,7544,2021-09-22
"75 - 79",41,6030,1784,7855,2021-09-22
"80 - 84",46,4700,2037,6783,2021-09-22
"85 - 89",26,2905,1493,4424,2021-09-22
">90",10,1279,630,1919,2021-09-22
