"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",32,1501,6,1539,2021-09-26
"20 - 24",2,549,3,554,2021-09-26
"25 - 29",7,901,2,910,2021-09-26
"30 - 34",8,1299,11,1318,2021-09-26
"35 - 39",9,1486,10,1505,2021-09-26
"40 - 44",19,1850,13,1882,2021-09-26
"45 - 49",21,3017,27,3065,2021-09-26
"50 - 54",28,4649,77,4754,2021-09-26
"55 - 59",29,5625,133,5787,2021-09-26
"60 - 64",23,5601,246,5870,2021-09-26
"65 - 69",22,5480,520,6022,2021-09-26
"70 - 74",31,6431,1088,7550,2021-09-26
"75 - 79",32,6037,1788,7857,2021-09-26
"80 - 84",36,4712,2040,6788,2021-09-26
"85 - 89",25,2911,1494,4430,2021-09-26
">90",8,1281,631,1920,2021-09-26
