"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",35,1382,6,1423,2021-08-12
"20 - 24",6,493,3,502,2021-08-12
"25 - 29",18,809,2,829,2021-08-12
"30 - 34",18,1183,10,1211,2021-08-12
"35 - 39",11,1369,10,1390,2021-08-12
"40 - 44",22,1710,12,1744,2021-08-12
"45 - 49",21,2890,25,2936,2021-08-12
"50 - 54",38,4478,77,4593,2021-08-12
"55 - 59",37,5448,130,5615,2021-08-12
"60 - 64",38,5447,243,5728,2021-08-12
"65 - 69",42,5334,507,5883,2021-08-12
"70 - 74",41,6276,1065,7382,2021-08-12
"75 - 79",43,5889,1736,7668,2021-08-12
"80 - 84",41,4578,1980,6599,2021-08-12
"85 - 89",30,2813,1453,4296,2021-08-12
">90",23,1229,610,1862,2021-08-12
