"Datum","Type","<20","20 - 24","25 - 29","30 - 34","35 - 39","40 - 44","45 - 49","50 - 54","55 - 59","60 - 64","65 - 69","70 - 74","75 - 79","80 - 84","85 - 89",">90"
"2020-04-21","IC",8,14,14,30,39,53,145,238,336,429,482,527,313,60,8,0
"2020-04-22","IC",8,12,14,30,41,54,145,239,340,430,481,525,316,61,8,0
"2020-04-23","IC",8,12,14,28,41,55,147,243,345,433,479,531,315,63,8,0
"2020-04-24","IC",8,12,15,28,41,55,148,237,347,438,482,541,313,70,10,0
"2020-04-25","IC",8,12,15,32,42,55,151,243,348,442,489,537,313,60,12,2
"2020-04-26","IC",8,12,15,30,40,55,151,241,349,441,487,546,318,60,11,2
"2020-04-27","IC",10,12,15,29,41,55,153,244,350,447,491,543,320,61,11,1
"2020-04-28","IC",10,12,15,29,41,55,154,242,354,450,493,545,324,62,11,1
"2020-04-29","IC",8,9,15,29,36,53,145,228,349,422,480,531,310,62,10,2
"2020-04-30","IC",8,9,16,30,36,55,145,227,350,424,481,529,306,62,10,2
"2020-05-01","IC",8,9,16,31,36,58,145,230,348,430,482,530,311,62,10,2
"2020-05-02","IC",8,9,16,31,35,57,146,228,345,434,487,531,311,60,10,2
"2020-05-03","IC",9,9,17,30,35,57,146,229,348,436,484,531,310,61,10,2
"2020-05-04","IC",8,9,16,30,37,56,149,231,353,438,488,535,309,60,10,2
"2020-05-05","IC",8,9,15,30,37,55,148,236,351,439,491,537,308,60,10,2
"2020-05-06","IC",8,9,15,31,37,56,147,232,351,442,490,537,308,60,11,2
"2020-05-07","IC",8,10,15,31,37,56,151,236,353,445,495,543,311,62,11,2
"2020-05-08","IC",7,10,15,31,37,60,151,239,357,448,497,547,312,61,11,2
"2020-05-09","IC",7,10,15,31,40,57,151,237,358,447,497,545,312,62,11,2
"2020-05-10","IC",7,11,15,31,39,57,153,236,356,445,500,542,312,62,11,2
"2020-05-11","IC",8,11,16,31,39,57,153,238,360,451,502,545,313,63,13,2
"2020-05-12","IC",9,10,16,31,40,57,153,242,361,447,497,546,312,63,12,2
"2020-05-13","IC",9,10,18,31,39,56,155,235,363,447,494,548,309,62,12,2
